condition,condition_id,family,noise_id,noise_label,pos_std_mm,ori_std_deg,task,skill_type,reached_count,completed_count,skill_success_rate,track_pos_cm,track_ori_deg,track_total,tracking_count,tracking_complete
rgbd+GP,gp,point,shuffle,shuffled-guidance,0.0,0.0,lamp,push,36,36,1.0,13.012284922651121,,,36,False
rgbd+GP,gp,point,n1,3mm,3.0,0.0,lamp,push,36,35,0.9722222222222222,9.345313293088841,,,8,True
rgbd+GP,gp,point,n2,6mm,6.0,0.0,lamp,push,36,36,1.0,8.560883375318145,,,8,True
rgbd+GP,gp,point,n3,12mm,12.0,0.0,lamp,push,35,35,1.0,7.239136523592194,,,7,True
rgbd+GP,gp,point,n4,24mm,24.0,0.0,lamp,push,36,36,1.0,7.29506855680108,,,7,True
rgbd+GP,gp,point,n0,0mm,0.0,0.0,lamp,pick,45,44,0.9777777777777777,5.17103202499163,,,8,True
rgbd+GP,gp,point,shuffle,shuffled-guidance,0.0,0.0,lamp,pick,43,41,0.9534883720930233,17.44279771796502,,,43,False
rgbd+GP,gp,point,n1,3mm,3.0,0.0,lamp,pick,44,43,0.9772727272727273,2.163756317988181,,,8,True
rgbd+GP,gp,point,n2,6mm,6.0,0.0,lamp,pick,45,44,0.9777777777777777,2.837685268134349,,,11,True
rgbd+GP,gp,point,n3,12mm,12.0,0.0,lamp,pick,45,43,0.9555555555555556,3.0641243054592007,,,11,True
rgbd+GP,gp,point,n4,24mm,24.0,0.0,lamp,pick,46,41,0.8913043478260869,6.593591288348474,,,9,True
rgbd+GP,gp,point,n0,0mm,0.0,0.0,lamp,place,44,34,0.7727272727272727,4.5602684148747965,,,6,True
rgbd+GP,gp,point,shuffle,shuffled-guidance,0.0,0.0,lamp,place,40,25,0.625,14.768795197345307,,,40,False
rgbd+GP,gp,point,n1,3mm,3.0,0.0,lamp,place,43,32,0.7441860465116279,2.7297216340553354,,,7,True
rgbd+GP,gp,point,n2,6mm,6.0,0.0,lamp,place,44,31,0.7045454545454546,5.84955810466419,,,9,True
rgbd+GP,gp,point,n3,12mm,12.0,0.0,lamp,place,43,30,0.6976744186046512,3.087336046666511,,,8,True
rgbd+GP,gp,point,n4,24mm,24.0,0.0,lamp,place,39,28,0.717948717948718,5.915236939203376,,,7,True
rgbd+GP,gp,point,n0,0mm,0.0,0.0,lamp,insert,25,25,1.0,1.5525651647789633,,,4,True
rgbd+GP,gp,point,shuffle,shuffled-guidance,0.0,0.0,lamp,insert,19,19,1.0,11.634950285210392,,,19,False
